TIME,OIS_6M
1999-01,-4.25
1999-02,0
1999-03,-0.5
1999-04,0.1
1999-05,0.1
1999-06,0
1999-07,1.5
1999-08,-0.5
1999-09,-4.5
1999-10,-8.25
1999-11,3
1999-12,0
2000-01,-1
2000-02,0
2000-03,-6.5
2000-04,2
2000-05,0.5
2000-06,15.2
2000-07,1.5
2000-08,-5.8
2000-09,-2.5
2000-10,6.5
2000-11,-1.1
2000-12,1.8
2001-01,0.2
2001-02,1
2001-03,8.5
2001-04,11.2
2001-05,-16.5
2001-06,1.5
2001-07,2.5
2001-08,-1
2001-09,-18
2001-10,7.75
2001-11,2
2001-12,3
2002-01,0.75
2002-02,2.5
2002-03,1.2
2002-04,-0.7
2002-05,4.25
2002-06,1
2002-07,-0.45
2002-08,-0.3
2002-09,-2.25
2002-10,2.5
2002-11,0.5
2002-12,-2.85
2003-01,2
2003-02,1.4
2003-03,1.5
2003-04,1.3
2003-05,4
2003-06,-4.5
2003-07,1.25
2003-08,0
2003-09,-0.5
2003-10,1.25
2003-11,0.5
2003-12,-1
2004-01,-0.55
2004-02,-0.4
2004-03,2.9
2004-04,6.7
2004-05,1.25
2004-06,-1
2004-07,-0.15
2004-08,0.5
2004-09,-0.8
2004-10,-0.475
2004-11,-0.05
2004-12,0.48
2005-01,-2.6
2005-02,-0.05
2005-03,-0.65
2005-04,-1.1
2005-05,0.25
2005-06,2
2005-07,2.1
2005-08,0.3
2005-09,-0.3
2005-10,-0.1
2005-11,-0.65
2005-12,-2.4
2006-01,-1.85
2006-02,-0.55
2006-03,0.95
2006-04,-8.9
2006-05,0.35
2006-06,-3.15
2006-07,2.4
2006-08,2.85
2006-09,0
2006-10,-0.1
2006-11,-0.3
2006-12,2.25
2007-01,-3.95
2007-02,1
2007-03,1.3
2007-04,-0.35
2007-05,-0.45
2007-06,-0.65
2007-07,0.5
2007-08,-0.2
2007-09,-2.55
2007-10,0.5
2007-11,-1.9
2007-12,2.2
2008-01,-0.5
2008-02,-5
2008-03,3.2
2008-04,0.1
2008-05,-0.9
2008-06,15
2008-07,-7.45
2008-08,-3.6
2008-09,-0.5
2008-10,-9
2008-11,16.6
2008-12,5.5
2009-01,-1
2009-02,-5.5
2009-03,0.5
2009-04,6.2
2009-05,-2.1
2009-06,3.85
2009-07,-5.9
2009-08,0.5
2009-09,-4.1
2009-10,-2.15
2009-11,-1.8
2009-12,-3.5
2010-01,-1.1
2010-02,-0.5
2010-03,-2.05
2010-04,0.9
2010-05,1.15
2010-06,-0.8
2010-07,4.65
2010-08,-0.85
2010-09,-1.1
2010-10,-0.4
2010-11,-0.7
2010-12,-2.8
2011-01,3.3
2011-02,-3.4
2011-03,12.9
2011-04,1.3
2011-05,-10.2
2011-06,-1.7
2011-07,1.1
2011-08,-14
2011-09,-1.1
2011-10,11.5
2011-11,-8.05
2011-12,-1.3
2012-01,-0.3
2012-02,-0.25
2012-03,-0.1
2012-04,0.2
2012-05,1.2
2012-06,2.2
2012-07,-8.1
2012-08,2.1
2012-09,0
2012-10,0.5
2012-11,1.1
2012-12,-0.7
2013-01,1.4
2013-02,-1.3
2013-03,1.4
2013-04,-0.2
2013-05,-1
2013-06,1.6
2013-07,-1.5
2013-08,0.7
2013-09,-0.5
2013-10,0.1
2013-11,-1
2013-12,1
2014-01,-0.5
2014-02,3.3
2014-03,2.75
2014-04,1.5
2014-05,-0.7
2014-06,-0.85
2014-07,-0.3
2014-08,0.3
2014-09,-5.3
2014-10,0.2
2014-11,0.2
2014-12,0.9
2015-01,-0.64
2015-02,0
2015-03,0
2015-04,0.295
2015-05,0
2015-06,0.215
2015-07,0.095
2015-08,0
2015-09,-0.1
2015-10,-2.475
2015-11,0
2015-12,8.125
2016-01,-2.56
2016-02,0
2016-03,4.05
2016-04,0.3
2016-05,0
2016-06,0
2016-07,0.255
2016-08,0
2016-09,0.9
2016-10,-0.005
2016-11,0
2016-12,-0.085
2017-01,0
2017-02,0
2017-03,0.21
2017-04,-0.6
2017-05,0
2017-06,-0.115001202
2017-07,-0.764998794
2017-08,0
2017-09,-0.200000405
2017-10,0.39999783
2017-11,0
2017-12,0
2018-01,0.100001693
2018-02,0
2018-03,0.499999523
2018-04,0
2018-05,0
2018-06,-0.605002046
2018-07,0
2018-08,0
2018-09,-0.170001388
2018-10,-0.039997697
2018-11,0
2018-12,0
2019-01,-0.200000405
2019-02,0
2019-03,-0.200000405
2019-04,-0.149998069
2019-05,0
2019-06,1.549997926
2019-07,2.19
2019-08,0
2019-09,5.499998
2019-10,0.07
2019-11,0
2019-12,0.150001
2020-01,0.900000334
2020-02,0
2020-03,8.605003357
2020-04,1.150000095
2020-05,0
2020-06,0.2700001
2020-07,-0.330001116
2020-08,0
2020-09,0.100001693
2020-10,-0.900000334
2020-11,0
2020-12,1.309999824
2021-01,-0.115001202
2021-02,0
2021-03,0.40999949
2021-04,-0.299999118
2021-05,0
2021-06,-0.12999773
2021-07,-0.069999695
2021-08,0
2021-09,-0.030001998
2021-10,-0.13999939
2021-11,0
2021-12,-0.27500093
