"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","MFG","IDX2015","M","1997-04",55.5689,
"AUT","INDPROD","MFG","IDX2015","M","1997-05",53.32621,
"AUT","INDPROD","MFG","IDX2015","M","1997-06",55.31971,
"AUT","INDPROD","MFG","IDX2015","M","1997-07",55.40277,
"AUT","INDPROD","MFG","IDX2015","M","1997-08",57.47934,
"AUT","INDPROD","MFG","IDX2015","M","1997-09",56.73177,
"AUT","INDPROD","MFG","IDX2015","M","1997-10",56.64871,
"AUT","INDPROD","MFG","IDX2015","M","1997-11",57.64546,
"AUT","INDPROD","MFG","IDX2015","M","1997-12",60.13734,
"AUT","INDPROD","MFG","IDX2015","M","1998-01",59.5559,
"AUT","INDPROD","MFG","IDX2015","M","1998-02",59.80509,
"AUT","INDPROD","MFG","IDX2015","M","1998-03",60.55265,
"AUT","INDPROD","MFG","IDX2015","M","1998-04",60.46959,
"AUT","INDPROD","MFG","IDX2015","M","1998-05",60.96797,
"AUT","INDPROD","MFG","IDX2015","M","1998-06",61.13409,
"AUT","INDPROD","MFG","IDX2015","M","1998-07",61.30022,
"AUT","INDPROD","MFG","IDX2015","M","1998-08",60.63572,
"AUT","INDPROD","MFG","IDX2015","M","1998-09",63.04453,
"AUT","INDPROD","MFG","IDX2015","M","1998-10",62.38003,
"AUT","INDPROD","MFG","IDX2015","M","1998-11",61.5494,
"AUT","INDPROD","MFG","IDX2015","M","1998-12",60.13734,
"AUT","INDPROD","MFG","IDX2015","M","1999-01",61.71553,
"AUT","INDPROD","MFG","IDX2015","M","1999-02",60.96797,
"AUT","INDPROD","MFG","IDX2015","M","1999-03",62.46309,
"AUT","INDPROD","MFG","IDX2015","M","1999-04",63.04453,
"AUT","INDPROD","MFG","IDX2015","M","1999-05",63.37679,
"AUT","INDPROD","MFG","IDX2015","M","1999-06",64.29047,
"AUT","INDPROD","MFG","IDX2015","M","1999-07",63.29372,
"AUT","INDPROD","MFG","IDX2015","M","1999-08",64.95497,
"AUT","INDPROD","MFG","IDX2015","M","1999-09",66.20091,
"AUT","INDPROD","MFG","IDX2015","M","1999-10",67.1146,
"AUT","INDPROD","MFG","IDX2015","M","1999-11",71.59998,
"AUT","INDPROD","MFG","IDX2015","M","1999-12",66.78235,
"AUT","INDPROD","MFG","IDX2015","M","2000-01",65.45335,
"AUT","INDPROD","MFG","IDX2015","M","2000-02",69.27423,
"AUT","INDPROD","MFG","IDX2015","M","2000-03",68.85892,
"AUT","INDPROD","MFG","IDX2015","M","2000-04",69.77261,
"AUT","INDPROD","MFG","IDX2015","M","2000-05",71.43386,
"AUT","INDPROD","MFG","IDX2015","M","2000-06",70.85242,
"AUT","INDPROD","MFG","IDX2015","M","2000-07",71.51692,
"AUT","INDPROD","MFG","IDX2015","M","2000-08",71.59998,
