"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","M","1998-10",4.5,
"AUT","HUR","TOT","PC_LF","M","1998-11",4.4,
"AUT","HUR","TOT","PC_LF","M","1998-12",4.3,
"AUT","HUR","TOT","PC_LF","M","1999-01",4.3,
"AUT","HUR","TOT","PC_LF","M","1999-02",4.2,
"AUT","HUR","TOT","PC_LF","M","1999-03",4.2,
"AUT","HUR","TOT","PC_LF","M","1999-04",4.2,
"AUT","HUR","TOT","PC_LF","M","1999-05",4.2,
"AUT","HUR","TOT","PC_LF","M","1999-06",4.2,
"AUT","HUR","TOT","PC_LF","M","1999-07",4.1,
"AUT","HUR","TOT","PC_LF","M","1999-08",4,
"AUT","HUR","TOT","PC_LF","M","1999-09",4,
"AUT","HUR","TOT","PC_LF","M","1999-10",4,
"AUT","HUR","TOT","PC_LF","M","1999-11",4.1,
"AUT","HUR","TOT","PC_LF","M","1999-12",4.2,
"AUT","HUR","TOT","PC_LF","M","2000-01",4.3,
"AUT","HUR","TOT","PC_LF","M","2000-02",4.3,
"AUT","HUR","TOT","PC_LF","M","2000-03",4.1,
"AUT","HUR","TOT","PC_LF","M","2000-04",3.8,
"AUT","HUR","TOT","PC_LF","M","2000-05",3.7,
"AUT","HUR","TOT","PC_LF","M","2000-06",3.6,
"AUT","HUR","TOT","PC_LF","M","2000-07",3.8,
"AUT","HUR","TOT","PC_LF","M","2000-08",3.8,
"AUT","HUR","TOT","PC_LF","M","2000-09",3.9,
"AUT","HUR","TOT","PC_LF","M","2000-10",3.8,
"AUT","HUR","TOT","PC_LF","M","2000-11",3.8,
"AUT","HUR","TOT","PC_LF","M","2000-12",3.7,
"AUT","HUR","TOT","PC_LF","M","2001-01",3.6,
"AUT","HUR","TOT","PC_LF","M","2001-02",3.6,
"AUT","HUR","TOT","PC_LF","M","2001-03",3.7,
"AUT","HUR","TOT","PC_LF","M","2001-04",3.9,
"AUT","HUR","TOT","PC_LF","M","2001-05",4,
"AUT","HUR","TOT","PC_LF","M","2001-06",4.1,
"AUT","HUR","TOT","PC_LF","M","2001-07",4.1,
"AUT","HUR","TOT","PC_LF","M","2001-08",4.1,
"AUT","HUR","TOT","PC_LF","M","2001-09",4.1,
"AUT","HUR","TOT","PC_LF","M","2001-10",4.2,
"AUT","HUR","TOT","PC_LF","M","2001-11",4.3,
"AUT","HUR","TOT","PC_LF","M","2001-12",4.4,
"AUT","HUR","TOT","PC_LF","M","2002-01",4.5,
"AUT","HUR","TOT","PC_LF","M","2002-02",4.5,
"AUT","HUR","TOT","PC_LF","M","2002-03",4.5,
"AUT","HUR","TOT","PC_LF","M","2002-04",4.3,
"AUT","HUR","TOT","PC_LF","M","2002-05",4.2,
"AUT","HUR","TOT","PC_LF","M","2002-06",4.2,
"AUT","HUR","TOT","PC_LF","M","2002-07",4.3,
"AUT","HUR","TOT","PC_LF","M","2002-08",4.4,
"AUT","HUR","TOT","PC_LF","M","2002-09",4.5,
"AUT","HUR","TOT","PC_LF","M","2002-10",4.4,
"AUT","HUR","TOT","PC_LF","M","2002-11",4.4,
"AUT","HUR","TOT","PC_LF","M","2002-12",4.5,
"AUT","HUR","TOT","PC_LF","M","2003-01",4.5,
"AUT","HUR","TOT","PC_LF","M","2003-02",4.5,
"AUT","HUR","TOT","PC_LF","M","2003-03",4.6,
"AUT","HUR","TOT","PC_LF","M","2003-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2003-05",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-06",4.9,
"AUT","HUR","TOT","PC_LF","M","2003-07",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-08",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-09",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-10",4.9,
"AUT","HUR","TOT","PC_LF","M","2003-11",5,
"AUT","HUR","TOT","PC_LF","M","2003-12",5.2,"B"
"AUT","HUR","TOT","PC_LF","M","2004-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2004-02",5.8,
"AUT","HUR","TOT","PC_LF","M","2004-03",6,
"AUT","HUR","TOT","PC_LF","M","2004-04",6.1,
"AUT","HUR","TOT","PC_LF","M","2004-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2004-06",5.7,
"AUT","HUR","TOT","PC_LF","M","2004-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2004-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2004-09",6.2,
"AUT","HUR","TOT","PC_LF","M","2004-10",6.2,
"AUT","HUR","TOT","PC_LF","M","2004-11",5.7,
"AUT","HUR","TOT","PC_LF","M","2004-12",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-01",5.7,
"AUT","HUR","TOT","PC_LF","M","2005-02",5.6,
"AUT","HUR","TOT","PC_LF","M","2005-03",6,
"AUT","HUR","TOT","PC_LF","M","2005-04",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-05",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-06",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-07",6.4,
"AUT","HUR","TOT","PC_LF","M","2005-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-09",6.1,
"AUT","HUR","TOT","PC_LF","M","2005-10",6.4,
"AUT","HUR","TOT","PC_LF","M","2005-11",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2006-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2006-02",6,
"AUT","HUR","TOT","PC_LF","M","2006-03",6.2,
"AUT","HUR","TOT","PC_LF","M","2006-04",5.7,
"AUT","HUR","TOT","PC_LF","M","2006-05",5.2,
"AUT","HUR","TOT","PC_LF","M","2006-06",6.1,
"AUT","HUR","TOT","PC_LF","M","2006-07",5.8,
"AUT","HUR","TOT","PC_LF","M","2006-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2006-09",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-10",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-11",5.2,
"AUT","HUR","TOT","PC_LF","M","2006-12",5.5,
"AUT","HUR","TOT","PC_LF","M","2007-01",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-02",5.4,
"AUT","HUR","TOT","PC_LF","M","2007-03",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-04",5.5,
